state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2
Alaska,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
Arizona,0.2,0.0,0.2,0.1,0.1,0.4,0.0,1.0
Arkansas,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
California,1.5,3.6,0.7,0.8,1.9,1.8,0.2,10.5
Colorado,0.1,0.1,0.1,0.1,25.0,0.1,0.0,25.5
Connecticut,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.5
Delaware,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
District of Columbia,0.0,0.0,0.4,0.1,0.1,7.5,0.1,8.1
Florida,0.2,0.0,0.1,0.1,0.2,0.2,0.0,0.8
Georgia,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.6
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.1,0.0,0.0,0.0,0.4,0.1,0.0,0.5
Idaho,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Illinois,0.4,3.5,0.2,0.7,1.3,1.5,0.1,7.7
Indiana,0.1,0.0,0.1,0.1,0.1,0.3,0.0,0.8
Iowa,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.3
Kansas,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
Kentucky,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Louisiana,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2
Maine,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2
Maryland,0.2,0.1,0.2,0.2,0.1,0.3,0.1,1.2
Massachusetts,0.3,0.3,0.5,0.4,0.7,1.0,0.1,3.3
Michigan,0.2,0.1,0.2,0.2,0.1,1.8,0.1,2.5
Minnesota,0.1,0.0,0.1,0.1,0.1,0.6,0.0,1.0
Mississippi,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.8
Missouri,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.5
Montana,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.6
Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
New Hampshire,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2
New Jersey,0.1,0.1,0.2,0.1,0.0,0.4,0.0,0.9
New Mexico,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
New York,0.6,3.4,0.8,0.4,1.3,4.5,0.1,11.0
North Carolina,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.9
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,0.2,0.0,0.2,0.6,0.0,1.0,0.0,2.0
Oklahoma,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2
Oregon,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.6
Pennsylvania,0.6,3.6,0.3,2.2,0.1,0.4,0.7,7.9
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Rhode Island,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.4
South Carolina,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.3
South Dakota,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Tennessee,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.2
Texas,0.2,0.1,0.3,0.2,0.1,1.0,0.0,1.9
Utah,0.1,1.0,0.0,0.4,0.1,0.1,0.0,1.7
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,0.6,0.7,0.1,0.1,0.1,0.2,0.1,1.8
Washington,0.3,0.0,0.1,0.1,0.4,0.2,0.0,1.0
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Wisconsin,0.1,0.1,0.3,0.1,0.1,0.2,0.0,1.0
Wyoming,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
